STATE/UT,DISTRICT,Year,Murder,Rape,Kidnapping and Abduction,Foeticide,Abetment of suicide,Exposure and abandonment,Procuration of minor girls,Buying of girls for prostitution,Selling of girls for prostitution,Prohibition of child marriage act,Other Crimes,Total
MAHARASHTRA,SANGLI,2001,9,24,5,0,0,13,0,0,0,19,0,70
MAHARASHTRA,SATARA,2001,6,13,1,0,0,13,0,0,0,1,22,56
MAHARASHTRA,SINDHUDURG,2001,0,2,1,0,0,2,0,0,0,0,0,5
MAHARASHTRA,SOLAPUR COMMR.,2001,3,9,12,1,0,9,0,0,0,1,0,35
MAHARASHTRA,SOLAPUR RURAL,2001,9,3,11,0,0,18,1,0,0,1,0,43
MAHARASHTRA,THANE COMMR.,2001,4,5,4,0,0,6,1,0,0,0,10,30
MAHARASHTRA,THANE RURAL,2001,6,0,1,10,0,0,0,0,0,0,17,34
MAHARASHTRA,WARDHA,2001,5,6,0,0,0,9,0,0,0,0,14,34
MAHARASHTRA,WASHIM,2001,1,2,0,0,0,0,0,0,0,0,11,14
MAHARASHTRA,YAVATMAL,2001,0,0,0,0,0,10,0,0,0,1,0,11
MAHARASHTRA,TOTAL,2001,203,367,210,17,4,281,21,1,1,43,473,1621
MANIPUR,BISHNUPUR,2001,0,0,0,0,0,0,0,0,0,0,0,0
MANIPUR,CHANDEL,2001,0,0,0,0,0,0,0,0,0,0,0,0
MANIPUR,CHURACHANDPUR,2001,0,0,0,0,0,0,0,0,0,0,0,0
MANIPUR,IMPHAL(EAST),2001,0,0,0,0,0,0,0,0,0,0,0,0
MANIPUR,IMPHAL(WEST),2001,0,0,0,0,0,0,0,0,0,0,0,0
MANIPUR,SENAPATI,2001,0,0,0,0,0,0,0,0,0,0,0,0
MANIPUR,TAMENGLONG,2001,0,0,0,0,0,0,0,0,0,0,0,0
MANIPUR,THOUBAL,2001,0,0,0,0,0,0,0,0,0,0,0,0
MANIPUR,UKHRUL,2001,0,0,0,0,0,0,0,0,0,0,0,0
MANIPUR,TOTAL,2001,0,0,0,0,0,0,0,0,0,0,0,0
MEGHALAYA,GARO HILLS EAST,2001,0,0,0,0,0,0,0,0,0,0,0,0
MEGHALAYA,GARO HILLS SOUTH,2001,0,0,0,0,0,0,0,0,0,0,0,0
MEGHALAYA,GARO HILLS WEST,2001,0,0,0,0,0,0,0,0,0,0,0,0
MEGHALAYA,JAINTIA HILLS,2001,0,0,0,0,0,0,0,0,0,0,0,0
MEGHALAYA,KHASI HILLS EAST,2001,0,0,0,0,0,0,0,0,0,0,0,0
MEGHALAYA,KHASI HILLS WEST,2001,0,0,0,0,0,0,0,0,0,0,0,0
MEGHALAYA,RI-BHOI,2001,0,0,0,0,0,0,0,0,0,0,0,0
MEGHALAYA,TOTAL,2001,0,0,0,0,0,0,0,0,0,0,0,0
MIZORAM,AIZAWL,2001,0,0,0,0,0,0,0,0,0,0,0,0
MIZORAM,CHAMPHAI,2001,0,0,0,0,0,0,0,0,0,0,0,0
MIZORAM,KOLASIB,2001,0,0,0,0,0,0,0,0,0,0,0,0
MIZORAM,LAWNGTLAI,2001,0,0,0,0,0,0,0,0,0,0,0,0
MIZORAM,LUNGLEI,2001,0,0,0,0,0,0,0,0,0,0,0,0
MIZORAM,MAMIT,2001,0,0,0,0,0,0,0,0,0,0,0,0
MIZORAM,SAIHA,2001,0,0,0,0,0,0,0,0,0,0,0,0
MIZORAM,SERCHHIP,2001,0,0,0,0,0,0,0,0,0,0,0,0
MIZORAM,TOTAL,2001,0,0,0,0,0,0,0,0,0,0,0,0
NAGALAND,DIMAPUR,2001,0,0,0,0,0,0,0,0,0,0,0,0
NAGALAND,KIPHIRE,2001,0,0,0,0,0,0,0,0,0,0,0,0
NAGALAND,KOHIMA,2001,0,0,0,0,0,0,0,0,0,0,0,0
NAGALAND,MOKOKCHUNG,2001,0,0,0,0,0,0,0,0,0,0,0,0
NAGALAND,MON,2001,0,0,0,0,0,0,0,0,0,0,0,0
NAGALAND,PEREN,2001,0,0,0,0,0,0,0,0,0,0,0,0
NAGALAND,PHEK,2001,0,0,0,0,0,0,0,0,0,0,0,0
NAGALAND,TUENSANG,2001,0,0,0,0,0,0,0,0,0,0,0,0
NAGALAND,WOKHA,2001,0,0,0,0,0,0,0,0,0,0,0,0
NAGALAND,ZUNHEBOTO,2001,0,0,0,0,0,0,0,0,0,0,0,0
NAGALAND,TOTAL,2001,0,0,0,0,0,0,0,0,0,0,0,0
ODISHA,ANGUL,2001,0,0,2,0,4,1,0,0,0,0,0,7
ODISHA,BALASORE,2001,0,0,0,0,0,0,0,0,0,0,0,0
ODISHA,BARAGARH,2001,0,4,0,0,0,0,0,0,0,0,0,4
ODISHA,BERHAMPUR,2001,0,0,0,0,0,0,0,0,0,0,0,0
ODISHA,BHADRAK,2001,0,1,0,0,0,0,0,0,0,0,0,1
ODISHA,BOLANGIR,2001,0,0,0,0,0,0,0,0,0,0,0,0
ODISHA,BOUDH,2001,0,0,0,0,0,0,0,0,0,0,0,0
ODISHA,CUTTACK,2001,0,0,0,0,0,0,0,0,0,0,0,0
ODISHA,DEOGARH,2001,0,1,0,0,0,0,0,0,0,0,0,1
ODISHA,DHENKANAL,2001,0,0,0,0,0,0,0,0,0,0,0,0
ODISHA,GAJAPATI,2001,0,0,3,0,0,0,0,0,0,0,0,3
ODISHA,GANJAM,2001,0,0,10,0,0,0,0,0,0,0,0,10
ODISHA,JAGATSINGHPUR,2001,0,0,0,0,0,0,0,0,0,0,0,0
ODISHA,JAJPUR,2001,0,0,0,0,0,0,0,0,0,0,0,0
ODISHA,JHARSUGUDA,2001,0,0,0,0,0,0,0,0,0,0,2,2
ODISHA,KALAHANDI,2001,0,0,0,0,0,0,0,0,0,0,0,0
ODISHA,KANDHAMAL,2001,0,0,0,0,0,0,0,0,0,0,0,0
ODISHA,KENDRAPARA,2001,0,0,0,0,0,0,0,0,0,0,9,9
ODISHA,KEONJHAR,2001,0,0,0,0,0,0,0,0,0,0,0,0
ODISHA,KHURDA,2001,0,3,2,0,0,0,0,0,0,0,0,5
ODISHA,KORAPUT,2001,0,0,0,0,0,0,0,0,0,0,0,0
ODISHA,MALKANGIR,2001,0,0,0,0,0,0,0,0,0,0,0,0
ODISHA,MAYURBHANJ,2001,0,0,0,0,0,0,0,0,0,0,6,6
ODISHA,NAYAGARH,2001,0,5,0,0,0,0,0,0,0,0,0,5
ODISHA,NOWRANGPUR,2001,0,0,0,0,0,0,0,0,0,0,0,0
ODISHA,NUAPADA,2001,0,0,0,0,0,0,0,0,0,0,0,0
ODISHA,PURI,2001,0,0,0,0,0,0,0,0,0,0,0,0
ODISHA,RAYAGADA,2001,0,1,0,0,0,0,0,0,0,0,5,6
ODISHA,ROURKELA,2001,0,0,0,0,0,0,0,0,0,0,0,0
ODISHA,SAMBALPUR,2001,0,0,0,0,0,0,0,0,0,0,0,0
ODISHA,SONEPUR,2001,0,0,0,0,0,0,0,0,0,0,0,0
ODISHA,SRP(CUTTACK),2001,0,1,4,0,0,0,0,0,0,0,0,5
ODISHA,SRP(ROURKELA),2001,0,0,0,0,0,0,0,0,0,0,0,0
ODISHA,SUNDARGARH,2001,2,1,1,0,0,0,0,0,0,0,0,4
ODISHA,TOTAL,2001,2,17,22,0,4,1,0,0,0,0,22,68
PUNJAB,AMRITSAR,2001,1,3,3,5,0,0,0,0,0,0,2,14
PUNJAB,BARNALA,2001,0,0,0,0,0,0,0,0,0,0,0,0
PUNJAB,BATALA,2001,1,5,1,0,0,0,0,0,0,0,0,7
PUNJAB,BHATINDA,2001,0,5,1,0,0,0,3,0,0,0,0,9
PUNJAB,FARIDKOT,2001,0,0,0,2,0,0,0,0,0,0,0,2
PUNJAB,FATEHGARH SAHIB,2001,0,0,0,0,0,1,0,0,0,0,0,1
PUNJAB,FEROZEPUR,2001,0,0,0,0,0,0,0,0,0,0,0,0
PUNJAB,G.R.P,2001,0,0,0,0,0,0,0,0,0,0,0,0
PUNJAB,GURDASPUR,2001,0,0,5,0,0,0,0,0,0,0,2,7
PUNJAB,HOSHIARPUR,2001,0,1,0,0,0,0,0,0,0,0,0,1
PUNJAB,JAGRAON,2001,1,10,1,0,0,0,2,0,0,0,1,15
PUNJAB,JALANDHAR,2001,3,2,7,0,0,0,0,0,0,0,2,14
PUNJAB,KAPURTHALA,2001,2,2,3,0,0,1,1,0,0,0,0,9
PUNJAB,KHANNA,2001,0,0,1,0,0,0,0,0,0,0,0,1
PUNJAB,LUDHIANA,2001,6,5,7,0,0,0,0,0,0,0,2,20
PUNJAB,MAJITHA,2001,2,0,0,0,0,0,0,0,0,0,1,3
PUNJAB,MANSA,2001,0,0,0,0,0,0,0,0,0,0,0,0
PUNJAB,MOGA,2001,0,0,0,0,0,0,0,0,0,0,0,0
PUNJAB,MUKTSAR,2001,0,0,0,0,0,0,0,0,0,0,0,0
PUNJAB,NAWAN SHAHR,2001,1,2,1,0,0,0,1,0,0,0,0,5
PUNJAB,PATIALA,2001,0,0,0,0,0,0,0,0,0,0,0,0
PUNJAB,ROPAR,2001,0,0,0,0,0,0,0,0,0,0,0,0
PUNJAB,SANGRUR,2001,2,1,2,0,0,1,0,0,0,0,3,9
PUNJAB,TARN TARAN,2001,1,2,3,0,0,0,0,0,0,0,0,6
PUNJAB,TOTAL,2001,20,38,35,7,0,3,7,0,0,0,13,123
RAJASTHAN,AJMER,2001,0,1,0,0,0,0,0,0,0,0,0,1
RAJASTHAN,ALWAR,2001,1,0,0,0,0,7,0,0,0,0,0,8
RAJASTHAN,BANSWARA,2001,3,13,30,0,0,10,0,0,0,0,4,60
RAJASTHAN,BARAN,2001,0,0,0,0,0,0,0,0,0,0,0,0
RAJASTHAN,BARMER,2001,1,3,6,0,0,2,0,0,0,0,2,14
RAJASTHAN,BHARATPUR,2001,0,0,0,1,0,0,0,0,0,0,0,1
RAJASTHAN,BHILWARA,2001,0,0,0,0,0,0,0,0,0,2,0,2
RAJASTHAN,BIKANER,2001,1,0,0,0,0,3,0,0,0,0,0,4
RAJASTHAN,BUNDI,2001,0,0,0,0,0,1,0,0,0,1,2,4
RAJASTHAN,CHITTORGARH,2001,4,0,0,0,0,5,0,0,0,0,0,9
RAJASTHAN,CHURU,2001,0,0,0,0,0,0,0,0,0,0,0,0
RAJASTHAN,DAUSA,2001,0,0,0,0,0,0,0,0,0,0,0,0
RAJASTHAN,DHOLPUR,2001,1,3,4,0,0,0,0,0,0,0,0,8
RAJASTHAN,DUNGARPUR,2001,0,4,3,2,0,5,0,0,0,0,0,14
RAJASTHAN,G.R.P.,2001,0,0,0,0,0,5,0,0,0,0,0,5
RAJASTHAN,GANGANAGAR,2001,0,1,0,1,1,1,0,0,0,0,0,4
RAJASTHAN,HANUMANGARH,2001,0,6,5,0,0,0,0,0,0,1,0,12
RAJASTHAN,JAIPUR,2001,2,4,9,0,0,9,0,0,0,0,0,24
RAJASTHAN,JAISALMER,2001,2,0,0,0,0,0,0,0,0,0,0,2
RAJASTHAN,JALORE,2001,0,0,0,0,0,0,0,0,0,0,0,0
RAJASTHAN,JHALAWAR,2001,0,0,0,0,0,0,0,0,0,0,0,0
RAJASTHAN,JHUNJHUNU,2001,1,0,0,2,0,2,0,0,0,0,0,5
RAJASTHAN,JODHPUR,2001,0,0,0,0,0,0,0,0,0,1,0,1
RAJASTHAN,KARAULI,2001,0,0,0,0,0,0,0,0,0,0,0,0
RAJASTHAN,KOTA,2001,2,0,5,0,0,0,0,0,0,0,0,7
RAJASTHAN,NAGAUR,2001,0,0,0,1,0,0,0,0,0,0,0,1
RAJASTHAN,PALI,2001,1,0,0,0,0,0,0,0,0,2,21,24
RAJASTHAN,RAJSAMAND,2001,0,0,0,0,0,0,0,0,0,1,0,1
RAJASTHAN,SAWAI MADHOPUR,2001,0,0,0,0,0,0,0,0,0,0,0,0
RAJASTHAN,SIKAR,2001,0,0,0,0,0,0,0,0,0,1,0,1
RAJASTHAN,SIROHI,2001,0,0,0,0,0,0,0,0,0,0,0,0
RAJASTHAN,TONK,2001,0,0,0,1,0,4,0,0,0,0,0,5
RAJASTHAN,UDAIPUR,2001,0,0,0,0,0,0,0,0,0,1,0,1
RAJASTHAN,TOTAL,2001,19,35,62,8,1,54,0,0,0,10,29,218
SIKKIM,EAST,2001,1,3,0,0,0,0,0,0,0,0,0,4
SIKKIM,NORTH,2001,0,0,0,0,0,0,0,0,0,0,0,0
SIKKIM,SOUTH,2001,0,1,0,0,0,0,0,0,0,0,0,1
SIKKIM,WEST,2001,0,0,0,0,0,0,0,0,0,0,0,0
SIKKIM,TOTAL,2001,1,4,0,0,0,0,0,0,0,0,0,5
TAMIL NADU,ARIYALUR,2001,2,0,0,0,0,0,0,0,0,0,0,2
TAMIL NADU,CHENGAI,2001,0,1,0,0,0,0,0,0,0,0,0,1
TAMIL NADU,CHENNAI,2001,0,0,0,0,0,0,0,0,0,0,0,0
TAMIL NADU,CHENNAI RLY.,2001,0,0,0,0,0,0,0,0,0,0,0,0
TAMIL NADU,COIMBATORE RURAL,2001,0,2,0,0,0,0,0,0,0,0,0,2
TAMIL NADU,COIMBATORE URBAN,2001,0,2,0,0,0,1,0,0,0,0,0,3
TAMIL NADU,CUDDALORE,2001,0,0,0,0,0,0,0,0,0,0,0,0
TAMIL NADU,DHARMAPURI,2001,0,0,0,0,0,0,0,0,0,0,3,3
TAMIL NADU,DINDIGUL,2001,0,0,0,0,0,0,0,0,0,0,0,0
TAMIL NADU,ERODE,2001,2,0,1,0,0,0,0,0,0,0,0,3
TAMIL NADU,KANCHIPURAM,2001,0,0,0,0,0,0,0,0,0,0,0,0
TAMIL NADU,KANYAKUMARI,2001,0,0,0,0,0,0,0,0,0,0,0,0
TAMIL NADU,KARUR,2001,0,0,0,0,0,0,0,0,0,0,0,0
TAMIL NADU,MADURAI RURAL,2001,0,3,0,0,0,0,0,0,0,0,0,3
TAMIL NADU,MADURAI URBAN,2001,2,0,0,0,0,0,0,0,0,0,0,2
TAMIL NADU,NAGAPATTINAM,2001,1,1,0,0,0,0,0,0,0,0,0,2
TAMIL NADU,NAMAKKAL,2001,0,0,0,0,0,0,0,0,0,0,0,0
TAMIL NADU,NILGIRIS,2001,0,0,0,0,0,0,0,0,0,0,0,0
TAMIL NADU,PERAMBALUR,2001,0,1,0,0,0,0,0,0,0,0,0,1
TAMIL NADU,PUDUKOTTAI,2001,0,2,0,0,0,0,0,0,0,0,0,2
TAMIL NADU,RAMNATHAPURAM,2001,1,1,1,0,0,0,0,0,0,0,0,3
TAMIL NADU,SALEM RURAL,2001,8,1,0,0,0,0,0,0,0,0,0,9
TAMIL NADU,SALEM URBAN,2001,0,0,0,0,0,0,0,0,0,0,0,0
TAMIL NADU,SIVAGANGAI,2001,1,2,0,0,0,0,0,0,0,0,0,3
TAMIL NADU,THANJAVUR,2001,0,0,0,0,0,0,0,0,0,0,0,0
TAMIL NADU,THENI,2001,0,0,0,0,1,0,0,0,0,0,5,6
TAMIL NADU,THIRUNELVELI RURAL,2001,0,0,0,0,0,0,0,0,0,0,0,0
TAMIL NADU,THIRUNELVELI URBAN,2001,0,3,0,0,0,0,0,0,0,0,0,3
TAMIL NADU,THIRUVALLUR,2001,1,0,0,0,0,0,0,0,0,0,0,1
TAMIL NADU,THIRUVANNAMALAI,2001,1,0,4,0,0,0,0,0,0,0,0,5
TAMIL NADU,THIRUVARUR,2001,2,1,0,0,0,0,0,0,0,0,0,3
TAMIL NADU,THOOTHUGUDI,2001,0,0,0,0,0,0,0,0,0,0,0,0
TAMIL NADU,TRICHY RLY.,2001,0,0,0,0,0,0,0,0,0,0,0,0
TAMIL NADU,TRICHY RURAL,2001,2,0,0,0,0,0,0,0,0,0,0,2
TAMIL NADU,TRICHY URBAN,2001,1,0,1,0,0,0,0,0,0,0,0,2
TAMIL NADU,VELLORE,2001,0,0,0,0,0,0,0,0,0,0,0,0
TAMIL NADU,VILLUPURAM,2001,0,0,0,0,0,0,0,0,0,0,0,0
TAMIL NADU,VIRUDHUNAGAR,2001,0,0,0,0,0,0,0,0,0,0,0,0
TAMIL NADU,TOTAL,2001,24,20,7,0,1,1,0,0,0,0,8,61
TRIPURA,DHALAI,2001,0,0,0,0,0,0,0,0,0,0,0,0
TRIPURA,NORTH,2001,0,0,0,0,0,0,0,0,0,0,0,0
TRIPURA,SOUTH,2001,0,0,0,0,0,0,0,0,0,0,0,0
TRIPURA,WEST,2001,0,0,0,0,0,0,0,0,0,0,0,0
TRIPURA,TOTAL,2001,0,0,0,0,0,0,0,0,0,0,0,0
UTTAR PRADESH,AGRA,2001,8,34,88,0,0,0,0,0,0,0,210,340
UTTAR PRADESH,ALIGARH,2001,6,10,12,0,0,0,0,0,0,0,14,42
UTTAR PRADESH,ALLAHABAD,2001,13,8,43,1,0,0,0,0,0,0,56,121
UTTAR PRADESH,AMBEDKAR NAGAR,2001,1,7,6,0,0,0,0,0,0,0,10,24
UTTAR PRADESH,AURAIYA,2001,6,8,16,0,0,0,0,0,0,1,6,37
UTTAR PRADESH,AZAMGARH,2001,6,8,8,0,0,0,0,0,0,0,13,35
UTTAR PRADESH,BADAUN,2001,13,13,13,0,0,0,0,0,0,0,0,39
UTTAR PRADESH,BAGHPAT,2001,8,10,26,0,0,0,11,0,0,0,27,82
UTTAR PRADESH,BAHRAICH,2001,1,2,9,0,0,0,0,0,0,0,10,22
UTTAR PRADESH,BALLIA,2001,0,3,0,0,0,0,0,0,0,0,1,4
UTTAR PRADESH,BALRAMPUR,2001,3,4,6,0,0,0,0,0,0,0,15,28
UTTAR PRADESH,BANDA,2001,3,8,9,0,0,0,0,0,0,0,2,22
UTTAR PRADESH,BARABANKI,2001,7,14,46,0,0,0,0,0,0,0,23,90
UTTAR PRADESH,BAREILLY,2001,7,15,49,0,0,0,0,0,0,0,106,177
UTTAR PRADESH,BASTI,2001,4,6,9,0,0,0,0,0,0,0,14,33
UTTAR PRADESH,BIJNOR,2001,18,10,18,0,0,0,0,0,0,0,10,56
UTTAR PRADESH,BULANDSHAHAR,2001,21,4,6,0,0,0,0,0,0,0,76,107
UTTAR PRADESH,CHANDOLI,2001,3,3,8,0,0,0,0,0,0,0,6,20
UTTAR PRADESH,CHITRAKOOT DHAM,2001,5,3,2,0,0,0,0,0,0,0,11,21
UTTAR PRADESH,DEORIA,2001,2,2,12,0,0,0,0,0,0,0,14,30
UTTAR PRADESH,ETAH,2001,32,5,11,0,0,0,0,0,0,0,10,58
UTTAR PRADESH,ETAWAH,2001,4,10,27,0,0,0,1,0,0,0,3,45
UTTAR PRADESH,FAIZABAD,2001,4,11,20,0,0,0,0,0,0,0,8,43
UTTAR PRADESH,FATEHGARH,2001,8,4,14,0,0,0,0,0,0,0,10,36
UTTAR PRADESH,FATEHPUR,2001,16,10,5,0,0,0,3,0,0,0,44,78
UTTAR PRADESH,FIROZABAD,2001,6,8,49,0,0,0,2,0,0,0,90,155
UTTAR PRADESH,G.R.P.,2001,0,0,1,0,0,0,0,0,0,0,0,1
UTTAR PRADESH,GAUTAMBUDH NAGAR,2001,8,12,21,0,0,0,0,0,0,0,11,52
UTTAR PRADESH,GHAZIABAD,2001,35,9,20,0,0,0,0,0,0,0,22,86
UTTAR PRADESH,GHAZIPUR,2001,1,4,7,0,0,0,0,0,0,0,0,12
UTTAR PRADESH,GONDA,2001,2,2,7,0,0,0,0,0,0,0,0,11
UTTAR PRADESH,GORAKHPUR,2001,13,5,16,0,0,0,0,0,1,0,9,44
UTTAR PRADESH,HAMIRPUR,2001,1,0,6,0,0,0,0,0,0,0,7,14
UTTAR PRADESH,HARDOI,2001,0,8,15,0,0,0,0,0,0,0,7,30
UTTAR PRADESH,HATHRAS,2001,8,10,26,0,0,0,0,0,0,0,12,56
UTTAR PRADESH,J.P.NAGAR,2001,15,10,0,0,0,0,0,0,0,0,0,25
UTTAR PRADESH,JALAUN,2001,7,2,24,0,0,0,0,0,0,0,2,35
UTTAR PRADESH,JAUNPUR,2001,5,5,8,0,0,0,0,0,0,0,7,25
UTTAR PRADESH,JHANSI,2001,2,6,10,0,0,0,0,0,0,0,8,26
UTTAR PRADESH,KANNAUJ,2001,2,0,0,0,0,0,0,0,0,0,0,2
UTTAR PRADESH,KANPUR DEHAT,2001,0,3,12,0,0,0,0,0,0,0,14,29
UTTAR PRADESH,KANPUR NAGAR,2001,1,7,49,0,0,0,10,0,0,0,11,78
UTTAR PRADESH,KAUSHAMBI,2001,8,4,4,0,0,0,0,0,0,0,10,26
UTTAR PRADESH,KHIRI,2001,0,23,11,0,0,0,0,0,0,0,7,41
UTTAR PRADESH,KUSHI NAGAR,2001,6,2,6,0,0,0,0,0,0,0,5,19
UTTAR PRADESH,LALITPUR,2001,0,5,2,0,0,0,1,0,0,0,40,48
UTTAR PRADESH,LUCKNOW,2001,12,13,21,0,0,0,0,1,0,0,6,53
UTTAR PRADESH,MAHARAJGANJ,2001,7,6,7,0,0,0,0,0,0,0,21,41
UTTAR PRADESH,MAHOBA,2001,1,5,6,0,0,0,0,0,0,0,25,37
UTTAR PRADESH,MAINPURI,2001,8,4,17,0,0,0,0,0,0,0,3,32
UTTAR PRADESH,MATHURA,2001,4,10,15,0,0,0,1,0,0,0,20,50
UTTAR PRADESH,MAU,2001,1,5,8,0,0,0,0,0,0,0,9,23
UTTAR PRADESH,MEERUT,2001,27,19,84,0,0,0,0,0,0,0,136,266
UTTAR PRADESH,MIRZAPUR,2001,5,8,6,0,0,0,0,0,0,0,10,29
UTTAR PRADESH,MORADABAD,2001,16,8,33,0,0,0,0,0,0,0,37,94
UTTAR PRADESH,MUZAFFARNAGAR,2001,25,17,17,0,0,0,0,0,0,0,26,85
UTTAR PRADESH,PILIBHIT,2001,4,17,28,0,0,0,0,0,0,0,0,49
UTTAR PRADESH,PRATAPGARH,2001,5,8,1,0,0,0,0,0,0,0,14,28
UTTAR PRADESH,RAIBAREILLY,2001,1,15,22,0,0,0,0,0,0,0,9,47
UTTAR PRADESH,RAMPUR,2001,0,4,4,0,0,0,0,0,0,0,2,10
UTTAR PRADESH,SAHARANPUR,2001,7,7,21,0,0,0,0,0,0,0,11,46
UTTAR PRADESH,SANT KABIRNAGAR,2001,1,6,9,0,0,0,0,0,0,0,15,31
